耗材名称,耗材类型,长,宽,高
普通京东19版1号自营防水袋,袋,250,190,1
普通京东19版2号自营防水袋,袋,300,250,1
普通京东19版3号自营防水袋,袋,400,330,1
普通京东19版4号自营防水袋,袋,450,420,1
普通京东19版5号自营防水袋,袋,520,380,1
普通京东19版6号自营防水袋,袋,520,490,1
普通京东19版7号自营防水袋,袋,700,550,1
普通京东1号20版平台纸箱,箱,120,100,55
普通京东2号20版平台纸箱,箱,140,100,85
普通京东3号20版平台纸箱,箱,165,120,55
普通京东4号20版平台纸箱,箱,165,150,110
普通京东6号20版平台纸箱,箱,200,100,90
普通京东5号20版平台纸箱,箱,200,140,70
普通京东7号20版平台纸箱,箱,200,150,150
普通京东8号20版平台纸箱,箱,245,120,90
普通京东9号20版平台纸箱,箱,260,175,130
普通京东10号20版平台纸箱,箱,270,200,90
普通京东11号20版平台纸箱,箱,290,170,190
普通京东12号20版平台纸箱,箱,300,200,170
普通京东13号20版平台纸箱,箱,300,240,220
普通京东14号20版平台纸箱,箱,330,170,260
普通京东15号20版平台纸箱,箱,330,330,260
普通京东16号20版平台纸箱,箱,380,275,150
普通京东17号20版平台纸箱,箱,400,180,140
普通京东18号20版平台纸箱,箱,400,330,220
普通京东19号20版平台纸箱,箱,410,350,360
普通京东20号20版平台纸箱,箱,430,360,280
普通京东21号20版平台纸箱,箱,550,400,400
普通京东22号20版平台纸箱,箱,650,550,400
